price,year,odometer,title_status,transmission,drive,state
6950,2006,223222,clean,automatic,fwd,al
9995,2006,162907,clean,automatic,4wd,ri
11000,2014,64046,salvage,automatic,rwd,ca
12999,2011,126378,clean,automatic,rwd,co
11600,2015,95890,clean,automatic,rwd,co
24000,2011,119000,clean,automatic,4wd,co
8999,2011,251631,clean,automatic,4wd,co
14999,2006,136406,clean,automatic,fwd,ca
13500,2008,160000,clean,automatic,rwd,ca
12800,2005,203000,clean,automatic,4wd,ca
15999,2009,142961,clean,automatic,4wd,va
9750,2006,216076,clean,automatic,4wd,va
9999,2013,158025,clean,automatic,rwd,ca
26550,2014,62671,clean,automatic,4wd,co
23994,2013,85753,clean,automatic,4wd,co
19994,2012,103351,clean,automatic,4wd,co
15999,2008,193982,clean,automatic,4wd,co
21999,2010,127917,clean,automatic,4wd,co
13995,2009,279562,clean,automatic,rwd,ca
23900,2015,64579,clean,automatic,4wd,sc
24999,2012,96499,clean,automatic,4wd,ca
17999,2006,175857,clean,automatic,4wd,ca
9400,2010,135441,clean,automatic,fwd,co
25550,2015,99213,clean,automatic,4wd,co
14000,2006,144000,clean,manual,4wd,sc
11880,2009,198944,clean,automatic,4wd,al
10000,2013,93300,clean,automatic,rwd,dc
27000,2015,59000,lien,automatic,4wd,co
13995,2009,164316,clean,automatic,4wd,oh
20000,2012,115380,clean,automatic,4wd,ks
18500,2010,155000,clean,automatic,4wd,co
23799,2015,24634,clean,automatic,rwd,al
16900,2014,159007,clean,automatic,4wd,ks
20000,2012,115380,clean,automatic,4wd,ks
18900,2013,94560,clean,automatic,4wd,ks
18900,2013,94560,clean,automatic,4wd,ks
25150,2015,53350,clean,automatic,4wd,ks
15495,2008,105239,clean,automatic,4wd,dc
5900,2006,203142,clean,automatic,rwd,sc
10990,2007,130301,clean,automatic,4wd,dc
19900,2012,133500,clean,automatic,rwd,sc
20920,2014,116751,clean,automatic,4wd,tx
9999,2006,198735,clean,automatic,4wd,me
10999,2008,191507,clean,automatic,4wd,me
10000,2007,45000,clean,automatic,rwd,dc
10000,2011,130000,clean,automatic,rwd,ks
11599,2006,229628,clean,automatic,rwd,al
17500,2014,99000,clean,automatic,rwd,sc
7500,2008,327000,clean,automatic,rwd,al
26194,2014,59848,clean,other,4wd,ak
5900,2008,114000,clean,manual,4wd,ny
11995,2010,127137,clean,automatic,rwd,tx
13995,2011,168955,clean,automatic,4wd,tx
8000,2005,200000,clean,manual,4wd,fl
14900,2012,51500,rebuilt,automatic,4wd,ak
7400,2009,147000,clean,automatic,rwd,fl
10900,2005,164450,clean,automatic,rwd,az
14998,2005,135477,clean,automatic,rwd,tx
25952,2015,48217,clean,automatic,4wd,fl
20000,2010,86700,clean,automatic,4wd,ak
23595,2015,89978,clean,automatic,4wd,ak
8999,2008,183000,clean,manual,rwd,co
9999,2006,103432,clean,manual,rwd,co
14999,2007,226035,clean,automatic,4wd,co
12999,2007,208796,clean,manual,4wd,co
23994,2013,85753,clean,automatic,4wd,co
19994,2012,103351,clean,automatic,4wd,co
15999,2008,193982,clean,automatic,4wd,co
21999,2010,127917,clean,automatic,4wd,co
21995,2009,114389,clean,automatic,4wd,az
24995,2013,122238,clean,automatic,4wd,az
18500,2015,63000,lien,automatic,4wd,az
13999,2010,142889,clean,manual,4wd,co
23900,2012,79854,clean,automatic,4wd,ky
19952,2014,83085,clean,automatic,rwd,fl
24999,2012,96499,clean,automatic,4wd,ca
17999,2006,175857,clean,automatic,4wd,ca
11995,2006,132930,clean,automatic,4wd,ri
23975,2015,63367,clean,automatic,4wd,ri
27600,2014,76328,clean,automatic,4wd,ca
17999,2006,175857,clean,automatic,4wd,ca
24999,2012,96499,clean,automatic,4wd,ca
26275,2015,79167,clean,automatic,4wd,co
22000,2015,94800,clean,automatic,4wd,co
12000,2005,169000,clean,manual,4wd,sc
9999,2006,103432,clean,manual,rwd,co
12444,2006,97390,clean,manual,fwd,co
26999,2015,77409,clean,automatic,4wd,co
18800,2013,101958,clean,automatic,4wd,ct
19450,2015,117085,clean,automatic,4wd,ct
13650,2011,151410,clean,automatic,4wd,ct
12500,2011,136250,salvage,manual,4wd,ca
16400,2011,137000,clean,automatic,rwd,fl
17990,2011,137893,clean,automatic,4wd,fl
18800,2013,101958,clean,automatic,4wd,ct
24300,2013,68358,lien,automatic,4wd,az
21900,2013,97889,clean,manual,4wd,sc
18800,2013,101958,clean,automatic,4wd,ct
7400,2009,147000,clean,automatic,rwd,fl
13650,2011,151410,clean,automatic,4wd,ct
15995,2013,126513,clean,automatic,fwd,fl
14995,2012,164854,clean,automatic,4wd,ky
16900,2012,84563,clean,automatic,rwd,ky
26998,2015,35619,clean,automatic,fwd,fl
14998,2005,135477,clean,automatic,rwd,tx
10990,2009,214450,clean,automatic,fwd,la
27999,2015,43560,clean,manual,4wd,wa
25500,2015,57150,clean,automatic,rwd,la
4500,2008,327000,clean,automatic,rwd,la
9495,2010,132658,clean,manual,rwd,fl
24900,2014,95156,clean,automatic,4wd,la
14500,2010,154000,lien,automatic,rwd,la
15944,2012,114381,clean,automatic,4wd,me
12990,2006,200962,clean,automatic,fwd,ca
9999,2013,158025,clean,automatic,rwd,ca
18990,2013,168911,clean,automatic,fwd,ca
18952,2015,106333,clean,automatic,rwd,al
9400,2006,195900,clean,automatic,rwd,nc
6500,2009,104000,clean,manual,rwd,me
16588,2012,149000,clean,automatic,rwd,ca
9999,2013,158025,clean,automatic,rwd,ca
16000,2008,135000,clean,automatic,rwd,ca
16588,2012,149000,clean,automatic,rwd,ca
18995,2011,90099,clean,automatic,4wd,me
18500,2011,79000,clean,automatic,rwd,sc
7500,2007,103640,clean,automatic,rwd,in
12977,2005,106,clean,manual,rwd,az
24988,2013,50745,clean,automatic,4wd,sd
14998,2005,135477,clean,automatic,rwd,tx
24000,2014,62762,clean,automatic,rwd,az
22000,2013,101000,clean,automatic,4wd,az
9950,2013,177000,clean,automatic,rwd,az
28988,2015,56884,clean,automatic,4wd,ca
9995,2009,142686,clean,automatic,rwd,fl
23995,2015,103040,clean,automatic,4wd,me
17999,2014,93400,clean,manual,4wd,me
13995,2008,151000,clean,automatic,4wd,me
6500,2009,269000,clean,automatic,rwd,me
21900,2015,80600,clean,automatic,4wd,md
20500,2015,117085,clean,automatic,4wd,ct
18800,2013,101958,clean,automatic,4wd,ct
6553,2005,132956,clean,automatic,rwd,ia
23952,2013,54587,clean,automatic,4wd,fl
9950,2013,177000,clean,automatic,rwd,az
5995,2010,143318,clean,automatic,rwd,nj
25952,2015,48217,clean,automatic,4wd,fl
15995,2015,95311,clean,automatic,rwd,az
13295,2007,169314,clean,automatic,4wd,id
8900,2007,213000,clean,automatic,rwd,az
12700,2015,108565,clean,automatic,rwd,fl
22498,2014,88894,clean,automatic,4wd,fl
9750,2006,216076,clean,automatic,4wd,va
14995,2007,109872,clean,automatic,rwd,az
23952,2015,40167,clean,automatic,rwd,fl
17952,2013,71991,clean,manual,4wd,fl
11495,2007,165300,clean,automatic,4wd,fl
7900,2008,82600,clean,automatic,4wd,ny
27952,2015,49985,clean,automatic,4wd,az
5200,2008,243000,clean,automatic,rwd,tn
18535,2013,102203,clean,automatic,rwd,fl
17995,2014,45000,clean,automatic,rwd,az
13450,2011,151410,clean,automatic,4wd,md
17995,2010,122736,clean,automatic,4wd,md
12995,2006,147966,clean,automatic,4wd,md
9000,2009,251542,clean,automatic,rwd,fl
16900,2011,167372,clean,automatic,rwd,tx
23900,2014,115589,clean,automatic,4wd,tx
6495,2005,233591,clean,automatic,4wd,nj
26999,2014,80803,clean,automatic,4wd,ak
6999,2009,120,clean,manual,4wd,ma
12995,2007,162322,clean,automatic,4wd,ma
13995,2015,71970,clean,automatic,rwd,nj
11799,2006,114530,clean,automatic,rwd,nj
7600,2005,119000,clean,automatic,rwd,fl
13995,2011,174075,clean,automatic,rwd,fl
26998,2015,35619,clean,automatic,fwd,fl
26995,2015,67629,clean,automatic,4wd,wa
9999,2013,158025,clean,automatic,rwd,ca
11999,2008,1,clean,automatic,fwd,az
27952,2015,49985,clean,automatic,4wd,az
