price,year,odometer,title_status,transmission,drive,state
5000,2002,140200,salvage,automatic,rwd,ca
7750,2002,245000,clean,automatic,rwd,ca
16200,2002,170000,clean,automatic,4wd,wa
5500,2003,262000,clean,automatic,rwd,tx
9990,1995,248499,clean,automatic,4wd,or
14990,2002,209692,clean,automatic,4wd,or
7000,2003,200771,clean,automatic,4wd,ms
3900,2002,199000,clean,manual,rwd,id
6499,2002,125000,clean,other,rwd,ca
5499,1996,181000,clean,manual,rwd,ca
11995,2004,241072,clean,automatic,rwd,ca
3950,2002,213000,clean,manual,rwd,ms
6500,2004,215000,clean,manual,4wd,ca
9995,2003,164388,clean,manual,rwd,ca
500,2002,211370,clean,automatic,rwd,or
4985,1996,181000,clean,manual,rwd,ca
6499,2002,125000,clean,other,rwd,ca
9990,1995,248499,clean,automatic,4wd,or
14990,2002,209692,clean,automatic,4wd,or
9500,2004,137000,clean,automatic,rwd,or
6500,2002,175000,clean,automatic,rwd,wi
3200,1996,220000,clean,manual,rwd,or
14900,2004,146600,clean,automatic,fwd,or
6800,1999,230989,clean,manual,4wd,ca
11900,2003,183000,clean,automatic,4wd,or
7200,1999,230880,clean,manual,4wd,nv
12300,2004,185000,clean,automatic,4wd,az
12525,2000,190000,clean,automatic,4wd,or
12525,2000,190000,clean,automatic,4wd,or
7400,2003,108000,clean,automatic,rwd,ca
12900,2003,146000,clean,automatic,rwd,ca
6800,1998,236000,clean,manual,4wd,or
9500,1992,130581,clean,manual,4wd,or
5800,1998,147000,clean,automatic,rwd,id
12900,2003,146000,clean,automatic,rwd,ca
6800,2001,250000,clean,automatic,rwd,ca
9500,2003,237000,clean,manual,4wd,or
9970,2004,212828,clean,automatic,4wd,ga
6000,2004,127536,clean,manual,fwd,or
8000,1998,132500,clean,manual,4wd,mt
7992,2002,94431,clean,automatic,rwd,id
8000,1998,132500,clean,manual,4wd,id
11000,2001,77755,clean,manual,4wd,ca
6495,2001,182325,clean,manual,rwd,ca
5000,1995,207500,clean,manual,4wd,ca
8000,1998,132500,clean,manual,4wd,mt
9830,2004,191846,clean,automatic,4wd,mt
7500,1999,248000,clean,manual,4wd,or
8700,2003,110783,clean,manual,rwd,id
7952,2003,183436,clean,automatic,rwd,id
7990,2002,223417,clean,automatic,fwd,ca
11000,2002,129000,clean,automatic,4wd,nc
6495,2001,182325,clean,manual,rwd,ca
11000,2002,157043,clean,manual,4wd,id
2700,1999,278392,clean,automatic,4wd,id
4200,2001,196118,clean,automatic,rwd,sc
12977,2004,171291,clean,automatic,4wd,nc
8500,1997,233000,clean,manual,4wd,ca
4750,1998,209555,clean,manual,4wd,nc
10800,2003,99071,clean,automatic,4wd,oh
8480,2004,208367,clean,automatic,fwd,tn
8480,2004,208367,clean,automatic,fwd,tn
6995,2002,317183,clean,manual,4wd,or
