price,year,odometer,title_status,transmission,drive,state
31999,2018,20497,clean,automatic,4wd,wa
25998,2017,72080,clean,automatic,fwd,fl
24743,2016,46644,clean,automatic,rwd,ga
30777,2019,16237,clean,automatic,4wd,me
29000,2017,12000,clean,automatic,rwd,az
30790,2017,54903,clean,automatic,4wd,id
26952,2018,33609,clean,automatic,rwd,fl
16250,2016,85795,clean,automatic,rwd,fl
25998,2017,72080,clean,automatic,fwd,fl
24998,2016,83872,clean,automatic,fwd,fl
21952,2018,10283,clean,automatic,rwd,fl
28900,2017,35015,lien,manual,4wd,ma
33000,2018,27400,clean,automatic,4wd,nj
25888,2016,50169,clean,automatic,rwd,fl
25998,2017,72080,clean,automatic,fwd,fl
24998,2016,83872,clean,automatic,fwd,fl
28999,2017,65254,clean,manual,4wd,co
30777,2019,16237,clean,automatic,4wd,ma
22490,2017,42070,clean,automatic,rwd,tx
28950,2019,12283,salvage,automatic,4wd,ut
33895,2019,12858,clean,automatic,4wd,ut
30777,2019,16237,clean,automatic,4wd,vt
32700,2018,35200,clean,automatic,4wd,ca
27777,2016,100013,clean,automatic,4wd,ca
24900,2016,18000,rebuilt,automatic,4wd,tn
24998,2016,83872,clean,automatic,fwd,fl
27000,2016,46900,clean,manual,4wd,va
28990,2017,51379,clean,manual,4wd,va
18950,2018,48806,clean,automatic,4wd,ny
13950,2017,61773,salvage,automatic,4wd,ny
27590,2017,51395,clean,automatic,4wd,nm
27905,2019,6438,clean,automatic,rwd,az
18950,2017,50925,salvage,automatic,rwd,fl
35900,2019,9775,clean,automatic,4wd,ma
28999,2016,43000,clean,automatic,4wd,ma
30777,2019,16237,clean,automatic,4wd,nh
30777,2019,16237,clean,automatic,4wd,nh
24990,2016,78729,clean,automatic,rwd,fl
29675,2017,88062,clean,automatic,4wd,ar
14950,2016,92520,salvage,automatic,4wd,fl
29900,2018,11975,clean,automatic,4wd,nh
29675,2017,88062,clean,automatic,4wd,ar
27097,2016,60482,clean,automatic,4wd,mi
29950,2016,50295,clean,automatic,4wd,co
30777,2019,16237,clean,automatic,4wd,nh
29513,2017,88062,clean,automatic,4wd,ar
2500,2016,66836,rebuilt,automatic,4wd,fl
28000,2017,17655,clean,automatic,4wd,ct
24995,2017,92353,clean,automatic,rwd,ca
29513,2017,88062,clean,automatic,4wd,ar
27975,2018,14738,clean,automatic,4wd,ct
25977,2016,71627,clean,automatic,4wd,oh
27575,2016,28492,clean,automatic,rwd,fl
40000,2018,8071,clean,automatic,4wd,ca
29765,2017,59097,clean,automatic,4wd,ca
25977,2016,71627,clean,automatic,4wd,oh
26000,2016,29000,rebuilt,automatic,4wd,mn
56999,2016,21105,clean,automatic,4wd,ca
27777,2016,100013,clean,automatic,4wd,ca
32700,2018,35200,clean,automatic,4wd,ca
30848,2018,14441,clean,automatic,4wd,ia
28551,2017,10702,clean,automatic,rwd,tx
27900,2016,30200,clean,automatic,4wd,nc
27777,2016,100013,clean,automatic,4wd,ca
32700,2018,35200,clean,automatic,4wd,ca
34950,2016,20810,clean,automatic,4wd,wa
29999,2016,60095,clean,automatic,4wd,wa
32999,2016,24114,clean,automatic,4wd,wa
27980,2016,77000,clean,automatic,4wd,ky
29952,2016,48636,clean,automatic,4wd,tn
35900,2019,11139,clean,automatic,4wd,tn
32700,2018,35200,clean,automatic,4wd,ca
29995,2017,26238,rebuilt,automatic,4wd,wa
27777,2016,100013,clean,automatic,4wd,ca
25998,2017,72080,clean,automatic,fwd,fl
30952,2016,28104,clean,automatic,4wd,tx
29988,2016,67244,clean,automatic,4wd,tx
27000,2018,72152,clean,automatic,4wd,tn
467,2019,1954,clean,automatic,4wd,wa
22971,2016,55814,clean,automatic,rwd,fl
34950,2016,20810,clean,automatic,4wd,wa
27999,2016,50230,clean,automatic,4wd,wa
33999,2017,52169,clean,automatic,4wd,wa
29995,2017,26238,rebuilt,automatic,4wd,wa
27980,2016,77000,clean,automatic,4wd,ky
